hand,auction,wbridge5_bid,ben_sayc_bid,bba_bid
S:Q52 H:6543 D:K732 C:AJ,,Pass,Pass,Pass
S:97 H:A9872 D:AJ65 C:43,Pass,Pass,Pass,Pass
S:J83 H:QJT D:QT C:K9852,Pass Pass,1S,Pass,Pass
S:AKT64 H:K D:984 C:QT76,Pass Pass 1S,1NT,Pass,Pass
S:Q52 H:6543 D:K732 C:AJ,Pass Pass 1S 1NT,Pass,X,X
S:97 H:A9872 D:AJ65 C:43,Pass Pass 1S 1NT Pass,2D,2D,2D
S:J83 H:QJT D:QT C:K9852,Pass Pass 1S 1NT Pass 2D,Pass,Pass,Pass
S:AKT64 H:K D:984 C:QT76,Pass Pass 1S 1NT Pass 2D Pass,2H,Pass,Pass
S:Q52 H:6543 D:K732 C:AJ,Pass Pass 1S 1NT Pass 2D Pass 2H,Pass,3S,Pass
S:97 H:A9872 D:AJ65 C:43,Pass Pass 1S 1NT Pass 2D Pass 2H Pass,2NT,3NT,2NT
S:J83 H:QJT D:QT C:K9852,Pass Pass 1S 1NT Pass 2D Pass 2H Pass 2NT,Pass,Pass,Pass
S:AKT64 H:K D:984 C:QT76,Pass Pass 1S 1NT Pass 2D Pass 2H Pass 2NT Pass,Pass,Pass,Pass
S:Q52 H:6543 D:K732 C:AJ,Pass Pass 1S 1NT Pass 2D Pass 2H Pass 2NT Pass Pass,Pass,Pass,Pass
S:9862 H:KJ9652 D:74 C:3,,Pass,Pass,Pass
S:AK4 H:AQT3 D:5 C:J8742,Pass,1H,1C,1C
S:T3 H:84 D:KQJ982 C:KQT,Pass 1H,Pass,Pass,Pass
S:QJ75 H:7 D:AT63 C:A965,Pass 1H Pass,2C,1S,1S
S:9862 H:KJ9652 D:74 C:3,Pass 1H Pass 2C,X,Pass,Pass
S:AK4 H:AQT3 D:5 C:J8742,Pass 1H Pass 2C X,Pass,3C,3C
S:T3 H:84 D:KQJ982 C:KQT,Pass 1H Pass 2C X Pass,2S,3D,3D
S:QJ75 H:7 D:AT63 C:A965,Pass 1H Pass 2C X Pass 2S,X,Pass,Pass
