position_id,hand,auction,seat,wbridge5_bid,ben_sayc_bid,bba_bid
1,S:Q52 H:6543 D:K732 C:AJ,,N,Pass,Pass,
2,S:97 H:A9872 D:AJ65 C:43,Pass,E,Pass,Pass,
3,S:J83 H:QJT D:QT C:K9852,Pass Pass,S,1S,Pass,
4,S:AKT64 H:K D:984 C:QT76,Pass Pass 1S,W,1NT,Pass,
5,S:Q52 H:6543 D:K732 C:AJ,Pass Pass 1S 1NT,N,Pass,X,
6,S:97 H:A9872 D:AJ65 C:43,Pass Pass 1S 1NT Pass,E,2D,2D,
7,S:J83 H:QJT D:QT C:K9852,Pass Pass 1S 1NT Pass 2D,S,Pass,Pass,
8,S:AKT64 H:K D:984 C:QT76,Pass Pass 1S 1NT Pass 2D Pass,W,2H,Pass,
9,S:Q52 H:6543 D:K732 C:AJ,Pass Pass 1S 1NT Pass 2D Pass 2H,N,Pass,3S,
10,S:97 H:A9872 D:AJ65 C:43,Pass Pass 1S 1NT Pass 2D Pass 2H Pass,E,2NT,3NT,
11,S:J83 H:QJT D:QT C:K9852,Pass Pass 1S 1NT Pass 2D Pass 2H Pass 2NT,S,Pass,Pass,
12,S:AKT64 H:K D:984 C:QT76,Pass Pass 1S 1NT Pass 2D Pass 2H Pass 2NT Pass,W,Pass,Pass,
13,S:Q52 H:6543 D:K732 C:AJ,Pass Pass 1S 1NT Pass 2D Pass 2H Pass 2NT Pass Pass,N,Pass,Pass,
14,S:9862 H:KJ9652 D:74 C:3,,N,Pass,Pass,
15,S:AK4 H:AQT3 D:5 C:J8742,Pass,E,1H,1C,
16,S:T3 H:84 D:KQJ982 C:KQT,Pass 1H,S,Pass,Pass,
17,S:QJ75 H:7 D:AT63 C:A965,Pass 1H Pass,W,2C,1S,
18,S:9862 H:KJ9652 D:74 C:3,Pass 1H Pass 2C,N,X,Pass,
19,S:AK4 H:AQT3 D:5 C:J8742,Pass 1H Pass 2C X,E,Pass,3C,
20,S:T3 H:84 D:KQJ982 C:KQT,Pass 1H Pass 2C X Pass,S,2S,3D,
21,S:QJ75 H:7 D:AT63 C:A965,Pass 1H Pass 2C X Pass 2S,W,X,Pass,
22,S:9862 H:KJ9652 D:74 C:3,Pass 1H Pass 2C X Pass 2S X,N,Pass,Pass,
23,S:AK4 H:AQT3 D:5 C:J8742,Pass 1H Pass 2C X Pass 2S X Pass,E,Pass,Pass,
24,S:T3 H:84 D:KQJ982 C:KQT,Pass 1H Pass 2C X Pass 2S X Pass Pass,S,Pass,3D,
25,S:54 H: D:AQ953 C:AKQJT6,,N,Pass,1C,
26,S:KJ93 H:KQ64 D:T74 C:73,Pass,E,1D,Pass,
27,S:AT7 H:32 D:KJ2 C:98542,Pass 1D,S,X,Pass,
28,S:Q862 H:AJT9875 D:86 C:,Pass 1D X,W,1S,1H,
29,S:54 H: D:AQ953 C:AKQJT6,Pass 1D X 1S,N,Pass,5C,
30,S:KJ93 H:KQ64 D:T74 C:73,Pass 1D X 1S Pass,E,2C,2S,
31,S:AT7 H:32 D:KJ2 C:98542,Pass 1D X 1S Pass 2C,S,Pass,Pass,
32,S:Q862 H:AJT9875 D:86 C:,Pass 1D X 1S Pass 2C Pass,W,4D,2H,
33,S:54 H: D:AQ953 C:AKQJT6,Pass 1D X 1S Pass 2C Pass 4D,N,Pass,5C,
34,S:KJ93 H:KQ64 D:T74 C:73,Pass 1D X 1S Pass 2C Pass 4D Pass,E,4H,4S,
35,S:AT7 H:32 D:KJ2 C:98542,Pass 1D X 1S Pass 2C Pass 4D Pass 4H,S,Pass,Pass,
36,S:Q862 H:AJT9875 D:86 C:,Pass 1D X 1S Pass 2C Pass 4D Pass 4H Pass,W,5D,Pass,
37,S:54 H: D:AQ953 C:AKQJT6,Pass 1D X 1S Pass 2C Pass 4D Pass 4H Pass 5D,N,Pass,Pass,
38,S:KJ93 H:KQ64 D:T74 C:73,Pass 1D X 1S Pass 2C Pass 4D Pass 4H Pass 5D Pass,E,Pass,5S,
39,S:AT7 H:32 D:KJ2 C:98542,Pass 1D X 1S Pass 2C Pass 4D Pass 4H Pass 5D Pass Pass,S,Pass,Pass,
40,S:KQT4 H:AQ96542 D: C:32,,N,1D,1H,
41,S:985 H:87 D:76542 C:874,1D,E,1H,Pass,
42,S:J32 H:KT3 D:AKJT C:Q65,1D 1H,S,Pass,3NT,
43,S:A76 H:J D:Q983 C:AKJT9,1D 1H Pass,W,2S,3NT,
44,S:KQT4 H:AQ96542 D: C:32,1D 1H Pass 2S,N,Pass,Pass,
45,S:985 H:87 D:76542 C:874,1D 1H Pass 2S Pass,E,Pass,Pass,
46,S:J32 H:KT3 D:AKJT C:Q65,1D 1H Pass 2S Pass Pass,S,Pass,3D,
47,S:J963 H:T D:AK85 C:T754,,N,Pass,Pass,
48,S:42 H:KQJ3 D:JT3 C:K863,Pass,E,Pass,Pass,
49,S:QT7 H:A86542 D:764 C:A,Pass Pass,S,Pass,2H,
50,S:AK85 H:97 D:Q92 C:QJ92,Pass Pass Pass,W,1D,1C,
51,S:J963 H:T D:AK85 C:T754,Pass Pass Pass 1D,N,2C,Pass,
52,S:42 H:KQJ3 D:JT3 C:K863,Pass Pass Pass 1D 2C,E,2D,X,
