index,hand,auction,wbridge5,ben_sayc,saycbridge,bba
0,S:Q52 H:6543 D:K732 C:AJ,,Pass,Pass,"[OSERROR(""DLOPEN(/LIBRARY/FRAMEWORKS/PYTHON.FRAMEWORK/VERSIONS/3.12/LIB/PYTHON3.12/SITE-PACKAGES/Z3/LIB/LIBZ3.DYLIB, 0X0006): TRIED: '/LIBRARY/FRAMEWORKS/PYTHON.FRAMEWORK/VERSIONS/3.12/LIB/PYTHON3.12/SITE-PACKAGES/Z3/LIB/LIBZ3.DYLIB' (MACH-O FILE, BUT IS AN INCOMPATIBLE ARCHITECTURE (HAVE 'ARM64', NEED 'X86_64')), '/SYSTEM/VOLUMES/PREBOOT/CRYPTEXES/OS/LIBRARY/FRAMEWORKS/PYTHON.FRAMEWORK/VERSIONS/3.12/LIB/PYTHON3.12/SITE-PACKAGES/Z3/LIB/LIBZ3.DYLIB' (NO SUCH FILE), '/LIBRARY/FRAMEWORKS/PYTHON.FRAMEWORK/VERSIONS/3.12/LIB/PYTHON3.12/SITE-PACKAGES/Z3/LIB/LIBZ3.DYLIB' (MACH-O FILE, BUT IS AN INCOMPATIBLE ARCHITECTURE (HAVE 'ARM64', NEED 'X86_64'))""), TYPEERROR('EXPECTED STR, BYTES OR OS.PATHLIKE OBJECT, NOT NONETYPE'), OSERROR(""DLOPEN(LIBZ3.DYLIB, 0X0006): TRIED: 'LIBZ3.DYLIB' (NO SUCH FILE), '/SYSTEM/VOLUMES/PREBOOT/CRYPTEXES/OSLIBZ3.DYLIB' (NO SUCH FILE), '/USR/LIB/LIBZ3.DYLIB' (NO SUCH FILE, NOT IN DYLD CACHE), 'LIBZ3.DYLIB' (NO SUCH FILE), '/USR/LIB/LIBZ3.DYLIB' (NO SUCH FILE, NOT IN DYLD CACHE)"")]",Pass
1,S:97 H:A9872 D:AJ65 C:43,Pass,Pass,Pass,"[OSERROR(""DLOPEN(/LIBRARY/FRAMEWORKS/PYTHON.FRAMEWORK/VERSIONS/3.12/LIB/PYTHON3.12/SITE-PACKAGES/Z3/LIB/LIBZ3.DYLIB, 0X0006): TRIED: '/LIBRARY/FRAMEWORKS/PYTHON.FRAMEWORK/VERSIONS/3.12/LIB/PYTHON3.12/SITE-PACKAGES/Z3/LIB/LIBZ3.DYLIB' (MACH-O FILE, BUT IS AN INCOMPATIBLE ARCHITECTURE (HAVE 'ARM64', NEED 'X86_64')), '/SYSTEM/VOLUMES/PREBOOT/CRYPTEXES/OS/LIBRARY/FRAMEWORKS/PYTHON.FRAMEWORK/VERSIONS/3.12/LIB/PYTHON3.12/SITE-PACKAGES/Z3/LIB/LIBZ3.DYLIB' (NO SUCH FILE), '/LIBRARY/FRAMEWORKS/PYTHON.FRAMEWORK/VERSIONS/3.12/LIB/PYTHON3.12/SITE-PACKAGES/Z3/LIB/LIBZ3.DYLIB' (MACH-O FILE, BUT IS AN INCOMPATIBLE ARCHITECTURE (HAVE 'ARM64', NEED 'X86_64'))""), TYPEERROR('EXPECTED STR, BYTES OR OS.PATHLIKE OBJECT, NOT NONETYPE'), OSERROR(""DLOPEN(LIBZ3.DYLIB, 0X0006): TRIED: 'LIBZ3.DYLIB' (NO SUCH FILE), '/SYSTEM/VOLUMES/PREBOOT/CRYPTEXES/OSLIBZ3.DYLIB' (NO SUCH FILE), '/USR/LIB/LIBZ3.DYLIB' (NO SUCH FILE, NOT IN DYLD CACHE), 'LIBZ3.DYLIB' (NO SUCH FILE), '/USR/LIB/LIBZ3.DYLIB' (NO SUCH FILE, NOT IN DYLD CACHE)"")]",Pass
2,S:J83 H:QJT D:QT C:K9852,Pass Pass,1S,Pass,"[OSERROR(""DLOPEN(/LIBRARY/FRAMEWORKS/PYTHON.FRAMEWORK/VERSIONS/3.12/LIB/PYTHON3.12/SITE-PACKAGES/Z3/LIB/LIBZ3.DYLIB, 0X0006): TRIED: '/LIBRARY/FRAMEWORKS/PYTHON.FRAMEWORK/VERSIONS/3.12/LIB/PYTHON3.12/SITE-PACKAGES/Z3/LIB/LIBZ3.DYLIB' (MACH-O FILE, BUT IS AN INCOMPATIBLE ARCHITECTURE (HAVE 'ARM64', NEED 'X86_64')), '/SYSTEM/VOLUMES/PREBOOT/CRYPTEXES/OS/LIBRARY/FRAMEWORKS/PYTHON.FRAMEWORK/VERSIONS/3.12/LIB/PYTHON3.12/SITE-PACKAGES/Z3/LIB/LIBZ3.DYLIB' (NO SUCH FILE), '/LIBRARY/FRAMEWORKS/PYTHON.FRAMEWORK/VERSIONS/3.12/LIB/PYTHON3.12/SITE-PACKAGES/Z3/LIB/LIBZ3.DYLIB' (MACH-O FILE, BUT IS AN INCOMPATIBLE ARCHITECTURE (HAVE 'ARM64', NEED 'X86_64'))""), TYPEERROR('EXPECTED STR, BYTES OR OS.PATHLIKE OBJECT, NOT NONETYPE'), OSERROR(""DLOPEN(LIBZ3.DYLIB, 0X0006): TRIED: 'LIBZ3.DYLIB' (NO SUCH FILE), '/SYSTEM/VOLUMES/PREBOOT/CRYPTEXES/OSLIBZ3.DYLIB' (NO SUCH FILE), '/USR/LIB/LIBZ3.DYLIB' (NO SUCH FILE, NOT IN DYLD CACHE), 'LIBZ3.DYLIB' (NO SUCH FILE), '/USR/LIB/LIBZ3.DYLIB' (NO SUCH FILE, NOT IN DYLD CACHE)"")]",Pass
3,S:AKT64 H:K D:984 C:QT76,Pass Pass 1S,1NT,Pass,"[OSERROR(""DLOPEN(/LIBRARY/FRAMEWORKS/PYTHON.FRAMEWORK/VERSIONS/3.12/LIB/PYTHON3.12/SITE-PACKAGES/Z3/LIB/LIBZ3.DYLIB, 0X0006): TRIED: '/LIBRARY/FRAMEWORKS/PYTHON.FRAMEWORK/VERSIONS/3.12/LIB/PYTHON3.12/SITE-PACKAGES/Z3/LIB/LIBZ3.DYLIB' (MACH-O FILE, BUT IS AN INCOMPATIBLE ARCHITECTURE (HAVE 'ARM64', NEED 'X86_64')), '/SYSTEM/VOLUMES/PREBOOT/CRYPTEXES/OS/LIBRARY/FRAMEWORKS/PYTHON.FRAMEWORK/VERSIONS/3.12/LIB/PYTHON3.12/SITE-PACKAGES/Z3/LIB/LIBZ3.DYLIB' (NO SUCH FILE), '/LIBRARY/FRAMEWORKS/PYTHON.FRAMEWORK/VERSIONS/3.12/LIB/PYTHON3.12/SITE-PACKAGES/Z3/LIB/LIBZ3.DYLIB' (MACH-O FILE, BUT IS AN INCOMPATIBLE ARCHITECTURE (HAVE 'ARM64', NEED 'X86_64'))""), TYPEERROR('EXPECTED STR, BYTES OR OS.PATHLIKE OBJECT, NOT NONETYPE'), OSERROR(""DLOPEN(LIBZ3.DYLIB, 0X0006): TRIED: 'LIBZ3.DYLIB' (NO SUCH FILE), '/SYSTEM/VOLUMES/PREBOOT/CRYPTEXES/OSLIBZ3.DYLIB' (NO SUCH FILE), '/USR/LIB/LIBZ3.DYLIB' (NO SUCH FILE, NOT IN DYLD CACHE), 'LIBZ3.DYLIB' (NO SUCH FILE), '/USR/LIB/LIBZ3.DYLIB' (NO SUCH FILE, NOT IN DYLD CACHE)"")]",Pass
4,S:Q52 H:6543 D:K732 C:AJ,Pass Pass 1S 1NT,Pass,X,"[OSERROR(""DLOPEN(/LIBRARY/FRAMEWORKS/PYTHON.FRAMEWORK/VERSIONS/3.12/LIB/PYTHON3.12/SITE-PACKAGES/Z3/LIB/LIBZ3.DYLIB, 0X0006): TRIED: '/LIBRARY/FRAMEWORKS/PYTHON.FRAMEWORK/VERSIONS/3.12/LIB/PYTHON3.12/SITE-PACKAGES/Z3/LIB/LIBZ3.DYLIB' (MACH-O FILE, BUT IS AN INCOMPATIBLE ARCHITECTURE (HAVE 'ARM64', NEED 'X86_64')), '/SYSTEM/VOLUMES/PREBOOT/CRYPTEXES/OS/LIBRARY/FRAMEWORKS/PYTHON.FRAMEWORK/VERSIONS/3.12/LIB/PYTHON3.12/SITE-PACKAGES/Z3/LIB/LIBZ3.DYLIB' (NO SUCH FILE), '/LIBRARY/FRAMEWORKS/PYTHON.FRAMEWORK/VERSIONS/3.12/LIB/PYTHON3.12/SITE-PACKAGES/Z3/LIB/LIBZ3.DYLIB' (MACH-O FILE, BUT IS AN INCOMPATIBLE ARCHITECTURE (HAVE 'ARM64', NEED 'X86_64'))""), TYPEERROR('EXPECTED STR, BYTES OR OS.PATHLIKE OBJECT, NOT NONETYPE'), OSERROR(""DLOPEN(LIBZ3.DYLIB, 0X0006): TRIED: 'LIBZ3.DYLIB' (NO SUCH FILE), '/SYSTEM/VOLUMES/PREBOOT/CRYPTEXES/OSLIBZ3.DYLIB' (NO SUCH FILE), '/USR/LIB/LIBZ3.DYLIB' (NO SUCH FILE, NOT IN DYLD CACHE), 'LIBZ3.DYLIB' (NO SUCH FILE), '/USR/LIB/LIBZ3.DYLIB' (NO SUCH FILE, NOT IN DYLD CACHE)"")]",X
5,S:97 H:A9872 D:AJ65 C:43,Pass Pass 1S 1NT Pass,2D,2D,"[OSERROR(""DLOPEN(/LIBRARY/FRAMEWORKS/PYTHON.FRAMEWORK/VERSIONS/3.12/LIB/PYTHON3.12/SITE-PACKAGES/Z3/LIB/LIBZ3.DYLIB, 0X0006): TRIED: '/LIBRARY/FRAMEWORKS/PYTHON.FRAMEWORK/VERSIONS/3.12/LIB/PYTHON3.12/SITE-PACKAGES/Z3/LIB/LIBZ3.DYLIB' (MACH-O FILE, BUT IS AN INCOMPATIBLE ARCHITECTURE (HAVE 'ARM64', NEED 'X86_64')), '/SYSTEM/VOLUMES/PREBOOT/CRYPTEXES/OS/LIBRARY/FRAMEWORKS/PYTHON.FRAMEWORK/VERSIONS/3.12/LIB/PYTHON3.12/SITE-PACKAGES/Z3/LIB/LIBZ3.DYLIB' (NO SUCH FILE), '/LIBRARY/FRAMEWORKS/PYTHON.FRAMEWORK/VERSIONS/3.12/LIB/PYTHON3.12/SITE-PACKAGES/Z3/LIB/LIBZ3.DYLIB' (MACH-O FILE, BUT IS AN INCOMPATIBLE ARCHITECTURE (HAVE 'ARM64', NEED 'X86_64'))""), TYPEERROR('EXPECTED STR, BYTES OR OS.PATHLIKE OBJECT, NOT NONETYPE'), OSERROR(""DLOPEN(LIBZ3.DYLIB, 0X0006): TRIED: 'LIBZ3.DYLIB' (NO SUCH FILE), '/SYSTEM/VOLUMES/PREBOOT/CRYPTEXES/OSLIBZ3.DYLIB' (NO SUCH FILE), '/USR/LIB/LIBZ3.DYLIB' (NO SUCH FILE, NOT IN DYLD CACHE), 'LIBZ3.DYLIB' (NO SUCH FILE), '/USR/LIB/LIBZ3.DYLIB' (NO SUCH FILE, NOT IN DYLD CACHE)"")]",2D
6,S:J83 H:QJT D:QT C:K9852,Pass Pass 1S 1NT Pass 2D,Pass,Pass,"[OSERROR(""DLOPEN(/LIBRARY/FRAMEWORKS/PYTHON.FRAMEWORK/VERSIONS/3.12/LIB/PYTHON3.12/SITE-PACKAGES/Z3/LIB/LIBZ3.DYLIB, 0X0006): TRIED: '/LIBRARY/FRAMEWORKS/PYTHON.FRAMEWORK/VERSIONS/3.12/LIB/PYTHON3.12/SITE-PACKAGES/Z3/LIB/LIBZ3.DYLIB' (MACH-O FILE, BUT IS AN INCOMPATIBLE ARCHITECTURE (HAVE 'ARM64', NEED 'X86_64')), '/SYSTEM/VOLUMES/PREBOOT/CRYPTEXES/OS/LIBRARY/FRAMEWORKS/PYTHON.FRAMEWORK/VERSIONS/3.12/LIB/PYTHON3.12/SITE-PACKAGES/Z3/LIB/LIBZ3.DYLIB' (NO SUCH FILE), '/LIBRARY/FRAMEWORKS/PYTHON.FRAMEWORK/VERSIONS/3.12/LIB/PYTHON3.12/SITE-PACKAGES/Z3/LIB/LIBZ3.DYLIB' (MACH-O FILE, BUT IS AN INCOMPATIBLE ARCHITECTURE (HAVE 'ARM64', NEED 'X86_64'))""), TYPEERROR('EXPECTED STR, BYTES OR OS.PATHLIKE OBJECT, NOT NONETYPE'), OSERROR(""DLOPEN(LIBZ3.DYLIB, 0X0006): TRIED: 'LIBZ3.DYLIB' (NO SUCH FILE), '/SYSTEM/VOLUMES/PREBOOT/CRYPTEXES/OSLIBZ3.DYLIB' (NO SUCH FILE), '/USR/LIB/LIBZ3.DYLIB' (NO SUCH FILE, NOT IN DYLD CACHE), 'LIBZ3.DYLIB' (NO SUCH FILE), '/USR/LIB/LIBZ3.DYLIB' (NO SUCH FILE, NOT IN DYLD CACHE)"")]",Pass
7,S:AKT64 H:K D:984 C:QT76,Pass Pass 1S 1NT Pass 2D Pass,2H,Pass,"[OSERROR(""DLOPEN(/LIBRARY/FRAMEWORKS/PYTHON.FRAMEWORK/VERSIONS/3.12/LIB/PYTHON3.12/SITE-PACKAGES/Z3/LIB/LIBZ3.DYLIB, 0X0006): TRIED: '/LIBRARY/FRAMEWORKS/PYTHON.FRAMEWORK/VERSIONS/3.12/LIB/PYTHON3.12/SITE-PACKAGES/Z3/LIB/LIBZ3.DYLIB' (MACH-O FILE, BUT IS AN INCOMPATIBLE ARCHITECTURE (HAVE 'ARM64', NEED 'X86_64')), '/SYSTEM/VOLUMES/PREBOOT/CRYPTEXES/OS/LIBRARY/FRAMEWORKS/PYTHON.FRAMEWORK/VERSIONS/3.12/LIB/PYTHON3.12/SITE-PACKAGES/Z3/LIB/LIBZ3.DYLIB' (NO SUCH FILE), '/LIBRARY/FRAMEWORKS/PYTHON.FRAMEWORK/VERSIONS/3.12/LIB/PYTHON3.12/SITE-PACKAGES/Z3/LIB/LIBZ3.DYLIB' (MACH-O FILE, BUT IS AN INCOMPATIBLE ARCHITECTURE (HAVE 'ARM64', NEED 'X86_64'))""), TYPEERROR('EXPECTED STR, BYTES OR OS.PATHLIKE OBJECT, NOT NONETYPE'), OSERROR(""DLOPEN(LIBZ3.DYLIB, 0X0006): TRIED: 'LIBZ3.DYLIB' (NO SUCH FILE), '/SYSTEM/VOLUMES/PREBOOT/CRYPTEXES/OSLIBZ3.DYLIB' (NO SUCH FILE), '/USR/LIB/LIBZ3.DYLIB' (NO SUCH FILE, NOT IN DYLD CACHE), 'LIBZ3.DYLIB' (NO SUCH FILE), '/USR/LIB/LIBZ3.DYLIB' (NO SUCH FILE, NOT IN DYLD CACHE)"")]",Pass
8,S:Q52 H:6543 D:K732 C:AJ,Pass Pass 1S 1NT Pass 2D Pass 2H,Pass,3S,"[OSERROR(""DLOPEN(/LIBRARY/FRAMEWORKS/PYTHON.FRAMEWORK/VERSIONS/3.12/LIB/PYTHON3.12/SITE-PACKAGES/Z3/LIB/LIBZ3.DYLIB, 0X0006): TRIED: '/LIBRARY/FRAMEWORKS/PYTHON.FRAMEWORK/VERSIONS/3.12/LIB/PYTHON3.12/SITE-PACKAGES/Z3/LIB/LIBZ3.DYLIB' (MACH-O FILE, BUT IS AN INCOMPATIBLE ARCHITECTURE (HAVE 'ARM64', NEED 'X86_64')), '/SYSTEM/VOLUMES/PREBOOT/CRYPTEXES/OS/LIBRARY/FRAMEWORKS/PYTHON.FRAMEWORK/VERSIONS/3.12/LIB/PYTHON3.12/SITE-PACKAGES/Z3/LIB/LIBZ3.DYLIB' (NO SUCH FILE), '/LIBRARY/FRAMEWORKS/PYTHON.FRAMEWORK/VERSIONS/3.12/LIB/PYTHON3.12/SITE-PACKAGES/Z3/LIB/LIBZ3.DYLIB' (MACH-O FILE, BUT IS AN INCOMPATIBLE ARCHITECTURE (HAVE 'ARM64', NEED 'X86_64'))""), TYPEERROR('EXPECTED STR, BYTES OR OS.PATHLIKE OBJECT, NOT NONETYPE'), OSERROR(""DLOPEN(LIBZ3.DYLIB, 0X0006): TRIED: 'LIBZ3.DYLIB' (NO SUCH FILE), '/SYSTEM/VOLUMES/PREBOOT/CRYPTEXES/OSLIBZ3.DYLIB' (NO SUCH FILE), '/USR/LIB/LIBZ3.DYLIB' (NO SUCH FILE, NOT IN DYLD CACHE), 'LIBZ3.DYLIB' (NO SUCH FILE), '/USR/LIB/LIBZ3.DYLIB' (NO SUCH FILE, NOT IN DYLD CACHE)"")]",Pass
9,S:97 H:A9872 D:AJ65 C:43,Pass Pass 1S 1NT Pass 2D Pass 2H Pass,2NT,3NT,"[OSERROR(""DLOPEN(/LIBRARY/FRAMEWORKS/PYTHON.FRAMEWORK/VERSIONS/3.12/LIB/PYTHON3.12/SITE-PACKAGES/Z3/LIB/LIBZ3.DYLIB, 0X0006): TRIED: '/LIBRARY/FRAMEWORKS/PYTHON.FRAMEWORK/VERSIONS/3.12/LIB/PYTHON3.12/SITE-PACKAGES/Z3/LIB/LIBZ3.DYLIB' (MACH-O FILE, BUT IS AN INCOMPATIBLE ARCHITECTURE (HAVE 'ARM64', NEED 'X86_64')), '/SYSTEM/VOLUMES/PREBOOT/CRYPTEXES/OS/LIBRARY/FRAMEWORKS/PYTHON.FRAMEWORK/VERSIONS/3.12/LIB/PYTHON3.12/SITE-PACKAGES/Z3/LIB/LIBZ3.DYLIB' (NO SUCH FILE), '/LIBRARY/FRAMEWORKS/PYTHON.FRAMEWORK/VERSIONS/3.12/LIB/PYTHON3.12/SITE-PACKAGES/Z3/LIB/LIBZ3.DYLIB' (MACH-O FILE, BUT IS AN INCOMPATIBLE ARCHITECTURE (HAVE 'ARM64', NEED 'X86_64'))""), TYPEERROR('EXPECTED STR, BYTES OR OS.PATHLIKE OBJECT, NOT NONETYPE'), OSERROR(""DLOPEN(LIBZ3.DYLIB, 0X0006): TRIED: 'LIBZ3.DYLIB' (NO SUCH FILE), '/SYSTEM/VOLUMES/PREBOOT/CRYPTEXES/OSLIBZ3.DYLIB' (NO SUCH FILE), '/USR/LIB/LIBZ3.DYLIB' (NO SUCH FILE, NOT IN DYLD CACHE), 'LIBZ3.DYLIB' (NO SUCH FILE), '/USR/LIB/LIBZ3.DYLIB' (NO SUCH FILE, NOT IN DYLD CACHE)"")]",2NT
